Total seleccionados:    1,968
En estado terminal:     5
Por descargar/reintentar: 1,963 (modo: reintenta error/download_failed)

[1/1963] TIC 427348923 (label=0) ... WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
WARNING: File may have been truncated: actual file length (65536) is smaller than the expected size (1589760) [astropy.io.fits.file]
error | 0/2 sec | 0.0 MB | 1.6 s
[1888/1963] TIC 27064468 (label=1) ... ok | 3/4 sec | 5.9 MB | 0.9 s
[1889/1963] TIC 325086150 (label=0) ... no_data | 0/0 sec | 0.0 MB | 1.7 s
[1890/1963] TIC 232982938 (label=1) ... ok | 3/34 sec | 5.8 MB | 6.7 s
[1891/1963] TIC 148523092 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[1892/1963] TIC 326732851 (label=0) ... ok | 2/2 sec | 3.4 MB | 7.8 s
[1893/1963] TIC 198153540 (label=1) ... ok | 3/7 sec | 5.8 MB | 1.2 s
[1894/1963] TIC 64531556 (label=0) ... ok | 3/4 sec | 6.0 MB | 7.2 s
[1895/1963] TIC 5024743 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.9 s
[1896/1963] TIC 84126162 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.8 s
[1897/1963] TIC 153951307 (label=1) ... ok | 3/8 sec | 5.9 MB | 1.2 s
[1898/1963] TIC 104195270 (label=0) ... ok | 1/1 sec | 2.0 MB | 3.3 s
[1899/1963] TIC 308425348 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.0 s
[1900/1963] TIC 42883782 (label=1) ... ok | 3/3 sec | 5.8 MB | 0.9 s
[1901/1963] TIC 219852882 (label=1) ... ok | 3/41 sec | 5.7 MB | 1.0 s
[1902/1963] TIC 7624182 (label=0) ... ok | 3/4 sec | 5.7 MB | 10.1 s
[1903/1963] TIC 161032923 (label=1) ... ok | 3/3 sec | 6.1 MB | 7.3 s
[1904/1963] TIC 441334829 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.2 s
[1905/1963] TIC 359271092 (label=1) ... ok | 3/7 sec | 5.6 MB | 8.2 s
[1906/1963] TIC 284254253 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.2 s
[1907/1963] TIC 365389353 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.2 s
[1908/1963] TIC 219388773 (label=0) ... ok | 3/6 sec | 5.4 MB | 7.6 s
[1909/1963] TIC 305048087 (label=1) ... ok | 3/4 sec | 5.8 MB | 6.2 s
[1910/1963] TIC 376682699 (label=0) ... ok | 2/2 sec | 3.4 MB | 4.7 s
[1911/1963] TIC 457939414 (label=0) ... ok | 3/3 sec | 5.7 MB | 7.4 s
[1912/1963] TIC 147977348 (label=1) ... ok | 3/3 sec | 5.7 MB | 6.6 s
[1913/1963] TIC 461538935 (label=0) ... ok | 3/6 sec | 5.7 MB | 10.5 s
[1914/1963] TIC 172518755 (label=1) ... ok | 3/4 sec | 5.6 MB | 6.6 s
[1915/1963] TIC 243641947 (label=1) ... ok | 2/2 sec | 3.9 MB | 5.9 s
[1916/1963] TIC 50365310 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.3 s
[1917/1963] TIC 428787891 (label=1) ... ok | 3/7 sec | 5.7 MB | 7.4 s
[1918/1963] TIC 253030300 (label=0) ... ok | 2/2 sec | 3.8 MB | 8.0 s
[1919/1963] TIC 176778112 (label=0) ... ok | 3/3 sec | 5.8 MB | 7.0 s
[1920/1963] TIC 357501308 (label=1) ... Warning: 34% (5753/16999) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
Warning: 27% (3459/12904) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/4 sec | 5.8 MB | 6.5 s
[1921/1963] TIC 403256331 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.9 s
[1922/1963] TIC 141405814 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.1 s
[1923/1963] TIC 269892793 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.5 s
[1924/1963] TIC 130924120 (label=1) ... ok | 3/4 sec | 5.8 MB | 7.6 s
[1925/1963] TIC 375199523 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.3 s
[1926/1963] TIC 224418572 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.2 s
[1927/1963] TIC 188989177 (label=0) ... ok | 2/2 sec | 3.8 MB | 6.1 s
[1928/1963] TIC 67926921 (label=0) ... ok | 1/1 sec | 2.0 MB | 4.7 s
[1929/1963] TIC 7904580 (label=0) ... ok | 2/2 sec | 3.9 MB | 6.2 s
[1930/1963] TIC 318022259 (label=1) ... ok | 3/3 sec | 5.8 MB | 1.1 s
[1931/1963] TIC 127425841 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.5 s
[1932/1963] TIC 288185138 (label=0) ... error | 0/6 sec | 0.0 MB | 0.8 s
[1933/1963] TIC 74197917 (label=0) ... ok | 2/2 sec | 3.8 MB | 5.5 s
[1934/1963] TIC 243283955 (label=0) ... no_data | 0/0 sec | 0.0 MB | 10.6 s
[1935/1963] TIC 294090620 (label=0) ... ok | 3/4 sec | 5.5 MB | 6.7 s
[1936/1963] TIC 103865797 (label=0) ... ok | 1/1 sec | 1.3 MB | 3.0 s
[1937/1963] TIC 207084429 (label=0) ... Warning: 30% (5871/19412) of the cadences will be ignored due to the quality mask (quality_bitmask=17087).
ok | 3/5 sec | 5.9 MB | 6.5 s
[1938/1963] TIC 345996087 (label=0) ... ok | 2/2 sec | 3.8 MB | 4.7 s
[1939/1963] TIC 361034196 (label=0) ... no_data | 0/0 sec | 0.0 MB | 3.0 s
[1940/1963] TIC 92359850 (label=0) ... ok | 1/1 sec | 1.9 MB | 4.4 s
[1941/1963] TIC 194795551 (label=1) ... ok | 3/4 sec | 6.1 MB | 7.7 s
[1942/1963] TIC 317548889 (label=1) ... ok | 3/4 sec | 5.5 MB | 8.3 s
[1943/1963] TIC 398912927 (label=0) ... ok | 3/3 sec | 5.5 MB | 6.8 s
[1944/1963] TIC 33692729 (label=1) ... ok | 3/3 sec | 5.5 MB | 7.3 s
[1945/1963] TIC 399444057 (label=0) ... ok | 1/1 sec | 1.8 MB | 3.8 s
[1946/1963] TIC 230001847 (label=1) ... ok | 3/28 sec | 6.0 MB | 7.3 s
[1947/1963] TIC 277871306 (label=0) ... ok | 3/4 sec | 5.7 MB | 6.5 s
[1948/1963] TIC 333657795 (label=1) ... ok | 3/4 sec | 5.5 MB | 6.4 s
[1949/1963] TIC 26433869 (label=0) ... no_data | 0/0 sec | 0.0 MB | 2.9 s
[1950/1963] TIC 354594208 (label=0) ... ok | 2/2 sec | 3.9 MB | 5.6 s
[1951/1963] TIC 89759617 (label=0) ... ok | 3/3 sec | 5.8 MB | 6.7 s
[1952/1963] TIC 299798795 (label=1) ... ok | 3/10 sec | 5.9 MB | 1.0 s
[1953/1963] TIC 129319156 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.8 s
[1954/1963] TIC 31697707 (label=0) ... ok | 1/1 sec | 1.9 MB | 2.7 s
[1955/1963] TIC 387603144 (label=0) ... no_data | 0/0 sec | 0.0 MB | 5.6 s
[1956/1963] TIC 262781201 (label=0) ... ok | 2/2 sec | 3.7 MB | 4.8 s
[1957/1963] TIC 407146538 (label=0) ... ok | 3/3 sec | 6.0 MB | 7.2 s
[1958/1963] TIC 271893367 (label=1) ... ok | 3/36 sec | 5.8 MB | 14.9 s
[1959/1963] TIC 279212407 (label=0) ... ok | 1/1 sec | 1.8 MB | 2.6 s
[1960/1963] TIC 308050066 (label=0) ... ok | 3/5 sec | 5.6 MB | 6.1 s
[1961/1963] TIC 229384040 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.5 s
[1962/1963] TIC 350044062 (label=0) ... ok | 1/1 sec | 1.9 MB | 3.0 s
[1963/1963] TIC 278726770 (label=0) ... ok | 3/10 sec | 6.1 MB | 7.3 s

=== Resumen ===
status
ok         1705
no_data     259
error         4

TICs ok: 1,705
Sectores descargados (total): 4,182
Tama�o total: 7.83 GB
Promedio sectores/TIC: 2.45

Manifest: data\splits\manifest.csv
